ticker,rows,first_date,last_date,universe_source,status,RIC,price_obs,price_first,price_last,esg_first_date,esg_last_date,esg_obs,esg_first_year,esg_last_year,E_nonnull,S_nonnull,G_nonnull,first_year_with_lagged_esg,eligibility_status,price_method,esg_complete,final_status,exclusion_reason
COTY,516880,20130621,20190628,raw_options,PENDING_LSEG_RECONCILIATION,COTY.K,1522,2013-06-13,2019-06-28,2014-12-31,2018-06-30,5,2014.0,2018.0,4,4,4,2015.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
CPB,875531,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CPB.O,2640,2009-01-02,2019-06-28,2009-08-02,2018-07-29,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
CRM,1851284,20040722,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CRM,2640,2009-01-02,2019-06-28,2009-01-31,2018-01-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
CSCO,1955376,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CSCO.O,2640,2009-01-02,2019-06-28,2009-07-25,2018-07-28,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
CSRA,46012,20151201,20180403,raw_options,PENDING_LSEG_RECONCILIATION,CSRA.K,0,,,,,0,,,0,0,0,,CHECK,UNRESOLVED_RIC,False,UNRESOLVED_PRICE,Mapped/historical RIC returned no TRDPRC_1 in 2009-2019 audit; corporate-action successor resolution required
CSX,1033757,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CSX.O,2640,2009-01-02,2019-06-28,2009-12-25,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
CTAS,487638,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CTAS.O,2640,2009-01-02,2019-06-28,2009-05-31,2018-05-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
CTL,920534,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CTL.W^E14,1057,2009-01-05,2014-04-25,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
CTSH,1502634,20020408,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CTSH.O,2640,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,2010.0,2019.0,10,10,10,2011.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
CTXS,1093221,19960612,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CTXS.B^J07,0,,,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,CHECK,UNRESOLVED_RIC,True,UNRESOLVED_PRICE,Mapped/historical RIC returned no TRDPRC_1 in 2009-2019 audit; corporate-action successor resolution required
CVS,1641485,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CVS,2640,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,2010.0,2019.0,10,10,10,2011.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
CVX,1891349,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CVX,2640,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,2010.0,2019.0,10,10,10,2011.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
CXO,593647,20071025,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CXO.PH^B09,0,,,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,CHECK,UNRESOLVED_RIC,True,UNRESOLVED_PRICE,Mapped/historical RIC returned no TRDPRC_1 in 2009-2019 audit; corporate-action successor resolution required
D,633668,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,D,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
DAL,1306590,20070504,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DAL,2640,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,2010.0,2019.0,10,10,10,2011.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
DE,1778482,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DE,2640,2009-01-02,2019-06-28,2009-10-31,2018-10-28,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
DFS,1211933,20070702,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DFS.B^J07,0,,,2009-11-30,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,CHECK,UNRESOLVED_RIC,True,UNRESOLVED_PRICE,Mapped/historical RIC returned no TRDPRC_1 in 2009-2019 audit; corporate-action successor resolution required
DG,1418128,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DG,2421,2009-11-13,2019-06-28,2008-12-31,2017-02-03,10,2008.0,2017.0,9,9,9,2009.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
DGX,603442,19970122,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DGX,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
DHI,1451543,19970312,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DHI,2640,2009-01-02,2019-06-28,2009-09-30,2018-09-30,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
DHR,850508,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DHR,2640,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,2010.0,2019.0,10,10,10,2011.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
DIS,1839342,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DIS,2640,2009-01-02,2019-06-28,2009-10-03,2018-09-29,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
DISCA,287553,20050722,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DISCA.B^J07,0,,,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,CHECK,UNRESOLVED_RIC,True,UNRESOLVED_PRICE,Mapped/historical RIC returned no TRDPRC_1 in 2009-2019 audit; corporate-action successor resolution required
DISCK,204264,20090828,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DISCK.A^H14,493,2010-07-15,2014-07-31,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
DISH,1771859,19960507,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DISH.B^J07,0,,,2008-12-31,2017-12-31,10,2008.0,2017.0,10,10,10,2009.0,CHECK,UNRESOLVED_RIC,True,UNRESOLVED_PRICE,Mapped/historical RIC returned no TRDPRC_1 in 2009-2019 audit; corporate-action successor resolution required
DLR,361457,20061127,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DLR,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
DLTR,1176543,19961023,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DLTR.O,2640,2009-01-02,2019-06-28,2009-01-31,2018-02-03,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
DOV,605958,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DOV,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
DRE,290161,19980513,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DRE.PH^B09,0,,,2010-12-31,2019-12-31,10,2010.0,2019.0,10,10,10,2011.0,CHECK,UNRESOLVED_RIC,True,UNRESOLVED_PRICE,Mapped/historical RIC returned no TRDPRC_1 in 2009-2019 audit; corporate-action successor resolution required
DRI,748302,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DRI,2640,2009-01-02,2019-06-28,2009-05-31,2018-05-27,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
DTE,382607,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DTE,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
DUK,757776,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DUK,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
DVA,555326,19971029,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DVA,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
DVN,1529374,19960509,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DVN,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
DXC,900013,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,DXC,2640,2009-01-02,2019-06-28,2009-04-03,2018-03-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
EA,1791643,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EA.W^E14,1104,2009-01-02,2014-04-29,2009-03-31,2018-03-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
EBAY,1642807,19990201,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EBAY.O,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
ECL,614646,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,ECL,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
ED,788069,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,ED,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
EFX,722327,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EFX,2640,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,2010.0,2019.0,10,10,10,2011.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
EIX,583290,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EIX,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
EL,700032,19960227,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EL,2640,2009-01-02,2019-06-28,2009-06-30,2018-06-30,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
EMN,789018,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EMN,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
EMR,996311,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EMR,2640,2009-01-02,2019-06-28,2010-09-30,2019-09-30,10,2010.0,2019.0,10,10,10,2011.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
EOG,1815765,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EOG,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
EQIX,1013935,20060404,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EQIX.O,2640,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,2010.0,2019.0,10,10,10,2011.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
EQR,451011,19970312,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EQR.PH^B09,0,,,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,CHECK,UNRESOLVED_RIC,True,UNRESOLVED_PRICE,Mapped/historical RIC returned no TRDPRC_1 in 2009-2019 audit; corporate-action successor resolution required
EQT,501951,19981007,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EQT,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
ES,284657,19960129,20190628,raw_options,PENDING_LSEG_RECONCILIATION,ESc1,2642,2009-01-02,2019-06-28,,,0,,,0,0,0,,CHECK,INITIAL_LSEG_RIC_TRDPRC_1,False,EXCLUDE_NO_ESG,No complete E/S/G historical series from mapped LSEG RIC
ESRX,1630786,19980908,20181220,raw_options,PENDING_LSEG_RECONCILIATION,ESRX.B^J07,0,,,2009-12-31,2016-12-31,8,2009.0,2016.0,8,8,8,2010.0,CHECK,UNRESOLVED_RIC,True,UNRESOLVED_PRICE,Mapped/historical RIC returned no TRDPRC_1 in 2009-2019 audit; corporate-action successor resolution required
ESS,521413,19980219,20190628,raw_options,PENDING_LSEG_RECONCILIATION,ESS,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
ETFC,1312860,19961125,20190628,raw_options,PENDING_LSEG_RECONCILIATION,ETFC.B^J07,0,,,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,CHECK,UNRESOLVED_RIC,True,UNRESOLVED_PRICE,Mapped/historical RIC returned no TRDPRC_1 in 2009-2019 audit; corporate-action successor resolution required
ETN,1457185,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,ETN,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
ETR,643793,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,ETR,2640,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,2010.0,2019.0,10,10,10,2011.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
EVHC,249783,20010719,20181010,raw_options,PENDING_LSEG_RECONCILIATION,EVHC.W^E14,137,2013-08-28,2014-04-30,2013-12-31,2014-12-31,2,2013.0,2014.0,1,1,1,2014.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
EW,1060522,20000403,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EW,2640,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,2010.0,2019.0,10,10,10,2011.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
EXC,815081,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EXC.O,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
EXPD,645992,19961024,20190628,raw_options,PENDING_LSEG_RECONCILIATION,EXPD.K,2640,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,2010.0,2019.0,10,10,10,2011.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
